DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	15q22.33	15	67157967	SMAD3	SMAD3			ENSG00000166949			rs17228058-G	rs17228058	0	17228058	intron_variant	0	0.2353	1E-08	8		0.0789	[0.052-0.106] unit increase	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	15q23	15	70506220	intergenic	LINC02205 - LINC02204	ENSG00000259473	ENSG00000280639		292	64738	rs8034004-C	rs8034004	0	8034004	regulatory_region_variant	1	0.4435	6E-06	5.22184874961636		0.0611	[0.035-0.088] unit increase	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	16p13.13	16	11136846	CLEC16A	CLEC16A			ENSG00000038532			rs7203459-C	rs7203459	0	7203459	intron_variant	0	0.2674	2E-07	6.69897000433602		0.0706	[0.044-0.097] unit decrease	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	16p12.1	16	27399508	IL21R, IL4R	IL4R - IL21R	ENSG00000077238	ENSG00000103522		34730	2666	rs2107357-A	rs2107357	0	2107357	intergenic_variant	1	0.1382	3E-07	6.52287874528034		0.0879	[0.054-0.122] unit increase	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	17q21.1	17	39917778	GSDMB, IKZF3	GSDMB			ENSG00000073605			rs9303280-T	rs9303280	0	9303280	non_coding_transcript_exon_variant	0	0.4805	9E-09	8.04575749056068		0.0687	[0.045-0.092] unit decrease	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	17q25.3	17	79414777	intergenic	RBFOX3			ENSG00000167281			rs1316453-C	rs1316453	0	1316453	intron_variant	0	0.3466	7E-06	5.15490195998574		0.0624	[0.035-0.090] unit increase	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	19p13.11	19	18456229	intergenic	ELL			ENSG00000105656			rs731945-T	rs731945	0	731945	intron_variant	0	0.3154	6E-06	5.22184874961636		0.0582	[0.033-0.083] unit increase	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	20q13.2	20	51524725	NFATC2	NFATC2			ENSG00000101096			rs6021270-C	rs6021270	0	6021270	intron_variant	0	0.0576	7E-09	8.15490195998574		0.1517	[0.10-0.20] unit decrease	Illumina [2400000] (imputed)	N
2014-01-09	23817569	Hinds DA	2013-06-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23817569	A genome-wide association meta-analysis of self-reported allergy identifies shared and allergy-specific susceptibility loci.	Self-reported allergy	53,862 European ancestry individuals	NA	22q13.2	22	41265150	intergenic	RANGAP1			ENSG00000100401			rs2235852-T	rs2235852	0	2235852	intron_variant	0	0.3267	4E-06	5.39794000867204		0.0577	[0.033-0.082] unit increase	Illumina [2400000] (imputed)	N
2013-11-01	23583980	Fingerlin TE	2013-04-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23583980	Genome-wide association study identifies multiple susceptibility loci for pulmonary fibrosis.	Interstitial lung disease	1,161 European ancestry cases, 4,683 European ancestry controls	876 European ancestry cases, 1,890 European ancestry controls	6p21.32	6	32222251	NR	NOTCH4, NOTCH4, NOTCH4, NOTCH4, NOTCH4, NOTCH4, NOTCH4			ENSG00000235396, ENSG00000223355, ENSG00000204301, ENSG00000232339, ENSG00000234876, ENSG00000206312, ENSG00000238196			rs3132946-A	rs3132946	0	3132946	intron_variant	0	0.12	8E-06	5.09691001300806		1.38	[1.21-1.57]	Illumina [439828]	N
2013-11-01	23583980	Fingerlin TE	2013-04-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23583980	Genome-wide association study identifies multiple susceptibility loci for pulmonary fibrosis.	Interstitial lung disease	1,161 European ancestry cases, 4,683 European ancestry controls	876 European ancestry cases, 1,890 European ancestry controls	8q24.12	8	119941633	NR	DEPTOR			ENSG00000155792			rs7005380-G	rs7005380	0	7005380	intron_variant	0	0.63	2E-07	6.69897000433602		1.25	[1.15-1.37]	Illumina [439828]	N
2013-11-01	23583980	Fingerlin TE	2013-04-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23583980	Genome-wide association study identifies multiple susceptibility loci for pulmonary fibrosis.	Interstitial lung disease	1,161 European ancestry cases, 4,683 European ancestry controls	876 European ancestry cases, 1,890 European ancestry controls	10q21.3	10	66465128	NR	CTNNA3			ENSG00000183230			rs2441727-G	rs2441727	0	2441727	intron_variant	0	0.05	1E-06	6		1.35	[1.15-1.60]	Illumina [439828]	N
2013-11-01	23583980	Fingerlin TE	2013-04-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23583980	Genome-wide association study identifies multiple susceptibility loci for pulmonary fibrosis.	Interstitial lung disease	1,161 European ancestry cases, 4,683 European ancestry controls	876 European ancestry cases, 1,890 European ancestry controls	15q25.3	15	85524075	NR	AKAP13			ENSG00000170776			rs6496044-G	rs6496044	0	6496044	intron_variant	0	0.33	2E-06	5.69897000433602		1.25	[1.15-1.36]	Illumina [439828]	N
2013-09-12	23563607	Berndt SI	2013-04-07	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23563607	Genome-wide meta-analysis identifies 11 new loci for anthropometric traits and provides insights into genetic architecture.	Obesity	93,015 European ancestry overweight individuals, 32,858 European ancestry  class I obese individuals, 9,889 European ancestry class II obese individuals, 2,896 European ancestry class III obese individuals, up to 65,840 European ancestry controls	65,332 European ancestry overweight individuals, 22,373 European ancestry class I obese individuals, 5,476 European ancestry class II obese individuals, 1,162 European ancestry class III obese individuals, up to 39,294 European ancestry controls	8q21.13	8	75703428	HNF4G	HNF4G - RNU2-54P	ENSG00000164749	ENSG00000222231		136585	562115	rs4735692-A	rs4735692	0	4735692	intergenic_variant	1	0.58	4E-10	9.39794000867204	(Overweight)	1.04	[NR]	Affymetrix, Illumina [~ 2800000] (imputed)	N
2013-09-12	23563607	Berndt SI	2013-04-07	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23563607	Genome-wide meta-analysis identifies 11 new loci for anthropometric traits and provides insights into genetic architecture.	Obesity	93,015 European ancestry overweight individuals, 32,858 European ancestry  class I obese individuals, 9,889 European ancestry class II obese individuals, 2,896 European ancestry class III obese individuals, up to 65,840 European ancestry controls	65,332 European ancestry overweight individuals, 22,373 European ancestry class I obese individuals, 5,476 European ancestry class II obese individuals, 1,162 European ancestry class III obese individuals, up to 39,294 European ancestry controls	17q25.3	17	80617311	RPTOR	RPTOR			ENSG00000141564			rs7503807-A	rs7503807	0	7503807	intron_variant	0	0.57	2E-08	7.69897000433602	(Overweight)	1.04	[NR]	Affymetrix, Illumina [~ 2800000] (imputed)	N
2013-09-12	23563607	Berndt SI	2013-04-07	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23563607	Genome-wide meta-analysis identifies 11 new loci for anthropometric traits and provides insights into genetic architecture.	Obesity	93,015 European ancestry overweight individuals, 32,858 European ancestry  class I obese individuals, 9,889 European ancestry class II obese individuals, 2,896 European ancestry class III obese individuals, up to 65,840 European ancestry controls	65,332 European ancestry overweight individuals, 22,373 European ancestry class I obese individuals, 5,476 European ancestry class II obese individuals, 1,162 European ancestry class III obese individuals, up to 39,294 European ancestry controls	16q12.2	16	53769662	FTO	FTO			ENSG00000140718			rs1558902-A	rs1558902	0	1558902	intron_variant	0	0.41	2E-81	80.698970004336	(Overweight)	1.14	[NR]	Affymetrix, Illumina [~ 2800000] (imputed)	N
2013-09-12	23563607	Berndt SI	2013-04-07	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23563607	Genome-wide meta-analysis identifies 11 new loci for anthropometric traits and provides insights into genetic architecture.	Obesity	93,015 European ancestry overweight individuals, 32,858 European ancestry  class I obese individuals, 9,889 European ancestry class II obese individuals, 2,896 European ancestry class III obese individuals, up to 65,840 European ancestry controls	65,332 European ancestry overweight individuals, 22,373 European ancestry class I obese individuals, 5,476 European ancestry class II obese individuals, 1,162 European ancestry class III obese individuals, up to 39,294 European ancestry controls	2p25.3	2	624034	TMEM18	AC093326.1 - TMEM18	ENSG00000233633	ENSG00000151353		45889	39843	rs6711012-C	rs6711012	0	6711012	intergenic_variant	1	0.82	6E-35	34.2218487496164	(Overweight)	1.11	[NR]	Affymetrix, Illumina [~ 2800000] (imputed)	N
2013-09-12	23563607	Berndt SI	2013-04-07	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23563607	Genome-wide meta-analysis identifies 11 new loci for anthropometric traits and provides insights into genetic architecture.	Obesity	93,015 European ancestry overweight individuals, 32,858 European ancestry  class I obese individuals, 9,889 European ancestry class II obese individuals, 2,896 European ancestry class III obese individuals, up to 65,840 European ancestry controls	65,332 European ancestry overweight individuals, 22,373 European ancestry class I obese individuals, 5,476 European ancestry class II obese individuals, 1,162 European ancestry class III obese individuals, up to 39,294 European ancestry controls	4p12	4	45173674	GNPDA2	AC108467.1 - THAP12P9	ENSG00000248744	ENSG00000248320		122022	149579	rs13130484-T	rs13130484	0	13130484	intergenic_variant	1	0.43	4E-28	27.397940008672	(Overweight)	1.08	[NR]	Affymetrix, Illumina [~ 2800000] (imputed)	N
2013-09-12	23563607	Berndt SI	2013-04-07	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23563607	Genome-wide meta-analysis identifies 11 new loci for anthropometric traits and provides insights into genetic architecture.	Obesity	93,015 European ancestry overweight individuals, 32,858 European ancestry  class I obese individuals, 9,889 European ancestry class II obese individuals, 2,896 European ancestry class III obese individuals, up to 65,840 European ancestry controls	65,332 European ancestry overweight individuals, 22,373 European ancestry class I obese individuals, 5,476 European ancestry class II obese individuals, 1,162 European ancestry class III obese individuals, up to 39,294 European ancestry controls	18q21.32	18	60184530	MC4R	RNU4-17P - AC090771.1	ENSG00000202468	ENSG00000267620		20823	12025	rs10871777-G	rs10871777	0	10871777	intergenic_variant	1	0.24	2E-27	26.698970004336	(Overweight)	1.1	[NR]	Affymetrix, Illumina [~ 2800000] (imputed)	N
2013-09-12	23563607	Berndt SI	2013-04-07	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23563607	Genome-wide meta-analysis identifies 11 new loci for anthropometric traits and provides insights into genetic architecture.	Obesity	93,015 European ancestry overweight individuals, 32,858 European ancestry  class I obese individuals, 9,889 European ancestry class II obese individuals, 2,896 European ancestry class III obese individuals, up to 65,840 European ancestry controls	65,332 European ancestry overweight individuals, 22,373 European ancestry class I obese individuals, 5,476 European ancestry class II obese individuals, 1,162 European ancestry class III obese individuals, up to 39,294 European ancestry controls	1q25.2	1	177883445	SEC16B	LINC01741 - SEC16B	ENSG00000236720	ENSG00000120341		173115	40511	rs633715-C	rs633715	0	633715	intergenic_variant	1	0.2	7E-20	19.1549019599857	(Overweight)	1.08	[NR]	Affymetrix, Illumina [~ 2800000] (imputed)	N
